round,idno,country,party_de,party_fr,party_hu,party_it,party_pl,age,urban,education(yy),activity,source_inc_h,income,satisfaction_inc,source_inc_p,age_group
9,1155,DE,66,0,0,0,0,51,1,13,66,1,3,3,1,25-65
9,1158,DE,66,0,0,0,0,37,3,14,66,1,3,2,1,25-65
9,1159,DE,88,0,0,0,0,55,3,14,8,4,3,2,66,25-65
9,1187,DE,1,0,0,0,0,26,4,16,66,1,8,3,1,25-65
9,1230,DE,3,0,0,0,0,20,1,12,2,8,3,1,6,18-24
9,1246,DE,1,0,0,0,0,79,3,13,66,4,10,1,4,66+
9,1249,DE,2,0,0,0,0,24,2,17,66,1,6,1,9,18-24
9,1258,DE,5,0,0,0,0,19,3,12,66,1,88,2,1,18-24
9,1284,DE,2,0,0,0,0,59,3,14,66,1,6,1,1,25-65
9,1306,DE,2,0,0,0,0,53,1,14,66,1,3,2,66,25-65
9,1309,DE,3,0,0,0,0,64,2,19,66,1,8,1,1,25-65
9,1312,DE,2,0,0,0,0,79,2,15,8,4,5,1,66,66+
9,1315,DE,6,0,0,0,0,81,2,15,66,4,8,1,66,66+
9,1318,DE,2,0,0,0,0,68,2,13,66,4,8,1,4,66+
9,1327,DE,2,0,0,0,0,64,3,18,66,1,5,2,1,25-65
