idno,cntry,prtvede1,prtvede2,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,lrscale,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
36231,AT,,,,,,,6,3,4,3,4,2,4,4,4,4,3,2,3,3,2,4,3,2,2,2,2,4,
36232,AT,,,,,,,5,3,4,2,2,2,4,2,2,3,4,3,2,2,2,5,2,2,2,3,4,3,
36292,AT,,,,,,,77,3,4,3,4,3,2,3,2,5,1,3,2,3,1,5,3,4,1,1,3,1,
36294,AT,,,,,,,5,3,4,1,4,1,2,1,1,5,1,2,2,4,1,4,2,3,1,2,2,3,
36299,AT,,,,,,,3,5,4,2,2,1,5,2,2,2,3,1,1,3,1,5,2,1,1,2,2,3,
36300,AT,,,,,,,5,3,5,2,2,2,3,3,2,4,3,2,2,3,2,4,2,2,1,1,1,2,
36347,AT,,,,,,,4,2,2,2,1,4,3,3,3,5,2,1,2,1,2,4,2,4,1,1,5,2,
36384,AT,,,,,,,6,3,3,1,2,2,3,2,2,4,3,2,2,2,1,4,1,2,2,2,1,4,
36397,AT,,,,,,,3,3,3,2,2,1,2,3,2,4,2,2,2,3,1,4,2,2,1,1,3,3,
36429,AT,,,,,,,3,1,4,1,1,1,2,3,2,3,1,1,1,1,1,2,2,1,1,1,1,1,
36459,AT,,,,,,,2,2,3,1,1,1,3,2,2,2,1,2,1,2,2,3,1,1,2,1,2,3,
36512,AT,,,,,,,1,2,3,1,1,1,2,5,2,3,1,1,1,1,1,3,3,1,1,2,1,1,
36524,AT,,,,,,,6,3,4,3,2,1,3,2,4,4,2,3,2,3,1,2,4,2,2,2,3,4,
36545,AT,,,,,,,3,2,2,2,2,1,2,4,2,3,2,2,3,1,1,4,1,2,1,5,6,3,
36548,AT,,,,,,,5,6,5,6,6,6,4,3,5,3,5,4,6,6,4,5,5,6,5,5,6,6,
36555,AT,,,,,,,8,4,5,2,4,1,4,2,2,2,4,3,3,4,1,5,2,3,2,3,2,3,
36557,AT,,,,,,,7,4,5,3,3,3,6,2,3,3,3,3,4,3,1,5,3,5,1,2,2,4,
36567,AT,,,,,,,3,1,5,1,2,3,3,3,1,5,1,1,2,5,4,3,5,5,1,1,2,3,
36608,AT,,,,,,,77,5,6,2,2,1,8,2,2,2,1,1,3,3,2,6,2,3,2,2,2,1,
36661,AT,,,,,,,2,2,4,2,2,2,6,5,2,2,2,2,1,5,1,5,1,1,1,1,1,1,
36663,AT,,,,,,,3,1,3,2,2,2,3,2,1,4,2,2,1,1,1,2,2,1,1,1,2,2,
36666,AT,,,,,,,77,3,5,1,5,3,2,3,1,4,2,3,3,4,1,3,4,5,1,1,3,2,
36677,AT,,,,,,,5,2,5,2,3,3,2,3,1,2,3,3,3,2,3,6,1,3,2,2,3,2,
36702,AT,,,,,,,7,2,2,5,2,3,4,5,5,4,4,2,4,2,2,2,2,2,2,4,4,2,
36731,AT,,,,,,,3,8,5,2,8,1,6,8,6,1,6,5,2,5,1,5,1,2,2,3,5,6,
36736,AT,,,,,,,5,1,4,1,2,2,3,5,1,2,1,1,2,1,1,3,5,2,1,1,1,1,
36763,AT,,,,,,,7,1,3,3,1,1,4,3,3,5,4,1,3,2,1,5,6,1,1,1,1,3,
36771,AT,,,,,,,6,1,2,2,2,2,1,2,3,5,1,1,2,2,1,1,3,2,1,1,3,2,
36798,AT,,,,,,,3,1,3,2,3,3,3,4,1,4,2,2,2,3,2,3,4,3,1,1,3,3,
36921,AT,,,,,,,7,2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,
36932,AT,,,,,,,6,4,4,2,3,2,4,3,2,4,3,4,2,4,3,4,3,3,2,3,2,3,
36935,AT,,,,,,,5,2,3,2,2,2,2,2,7,7,2,2,6,5,3,4,4,3,3,4,3,4,
36939,AT,,,,,,,4,5,4,1,4,1,1,2,2,4,2,1,3,3,2,2,2,2,2,1,2,2,
36940,AT,,,,,,,5,2,3,1,2,2,2,4,3,3,3,2,3,3,2,3,4,3,1,2,4,3,
36975,AT,,,,,,,5,1,5,1,1,1,3,4,1,1,5,2,1,3,1,6,1,4,1,1,1,1,
36982,AT,,,,,,,10,2,5,2,5,2,2,6,2,6,1,2,2,6,1,5,2,6,2,3,2,2,
37001,AT,,,,,,,2,1,4,1,3,4,3,6,1,3,4,2,1,3,4,2,5,5,1,2,5,5,
37032,AT,,,,,,,0,1,5,1,3,6,1,6,1,5,1,1,1,3,5,1,5,6,1,1,5,1,
37108,AT,,,,,,,8,3,5,1,2,2,2,4,2,4,3,2,1,2,2,2,1,2,1,1,1,3,
37124,AT,,,,,,,5,1,2,2,2,1,2,2,1,2,2,1,1,3,1,6,2,2,1,1,3,3,
37128,AT,,,,,,,3,2,2,3,1,1,3,3,1,1,3,2,1,2,2,3,1,1,1,2,2,1,
37137,AT,,,,,,,3,2,5,1,2,4,2,5,1,2,1,1,1,2,2,3,1,1,1,2,2,2,
37144,AT,,,,,,,3,3,4,3,3,3,4,5,3,3,3,3,2,5,1,5,1,1,1,1,1,3,
37157,AT,,,,,,,4,3,3,3,2,2,2,3,3,4,1,1,2,2,3,2,4,3,2,2,3,2,
37189,AT,,,,,,,2,1,5,2,2,4,3,4,2,3,3,1,1,2,2,4,3,2,1,1,1,3,
37194,AT,,,,,,,77,5,5,1,2,2,4,4,2,2,3,2,3,5,2,5,1,3,2,2,1,3,
37282,AT,,,,,,,3,1,4,1,1,1,2,6,3,5,2,1,2,2,1,1,1,1,1,1,2,2,
37294,AT,,,,,,,6,3,5,2,2,2,6,3,2,2,5,1,2,2,2,4,1,2,1,1,2,5,
37322,AT,,,,,,,4,3,4,2,3,2,4,3,2,3,4,4,2,3,2,4,2,3,1,1,1,4,
37324,AT,,,,,,,3,1,4,1,2,1,1,2,1,5,1,1,1,3,1,2,4,1,1,1,6,1,
37335,AT,,,,,,,7,3,3,2,2,4,2,6,3,5,1,1,2,1,2,3,3,2,1,3,2,2,
37344,AT,,,,,,,5,2,4,2,2,2,4,2,2,3,2,1,2,4,2,5,2,2,1,1,1,3,
37364,AT,,,,,,,4,2,4,1,3,2,3,2,2,2,3,3,1,4,2,4,2,4,1,2,2,3,
37406,AT,,,,,,,6,6,6,5,5,1,6,1,5,1,5,4,1,6,1,6,1,3,1,1,1,6,
37425,AT,,,,,,,7,1,6,4,1,1,3,1,4,1,3,1,2,3,2,5,3,3,1,2,4,2,
37433,AT,,,,,,,2,2,4,2,2,3,1,5,4,6,3,1,2,3,8,2,4,2,3,2,5,2,
37444,AT,,,,,,,7,2,2,3,2,2,2,4,5,5,2,1,3,2,2,2,3,2,2,2,2,2,
37474,AT,,,,,,,5,3,2,3,2,1,1,1,1,1,2,1,3,3,1,3,1,1,2,1,1,1,
37558,AT,,,,,,,5,3,5,2,2,2,4,2,2,2,3,2,2,4,2,5,2,2,2,2,2,4,
37560,AT,,,,,,,7,2,3,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,
37578,AT,,,,,,,5,2,4,4,3,2,2,5,1,2,3,1,3,2,2,2,2,2,3,2,4,3,
37598,AT,,,,,,,4,3,3,3,2,2,3,2,3,3,3,2,2,2,3,4,2,2,3,2,1,3,
37628,AT,,,,,,,3,2,4,3,5,1,3,5,2,4,2,1,3,3,5,3,3,6,2,2,6,4,
37633,AT,,,,,,,5,2,4,2,2,1,5,4,2,2,3,3,2,3,1,5,2,2,2,1,3,4,
37646,AT,,,,,,,4,3,4,3,3,3,4,4,3,4,3,3,2,3,3,5,3,2,2,2,2,2,
37659,AT,,,,,,,77,2,3,3,5,3,2,3,2,4,2,5,3,3,2,3,3,3,2,1,2,2,
37669,AT,,,,,,,2,4,5,2,5,4,2,5,4,2,1,3,4,6,2,5,4,3,4,3,5,1,
37677,AT,,,,,,,5,3,5,2,5,2,5,4,2,3,3,2,4,6,2,4,2,3,2,1,3,4,
37683,AT,,,,,,,5,4,4,3,3,2,5,4,3,3,4,3,3,4,2,6,2,3,3,4,3,4,
