idno,cntry,prtvede1,prtvede2,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,lrscale,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
17,AT,,,,,,,9,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,3,2,3,
31,AT,,,,,,,3,2,4,2,4,1,4,4,2,2,2,2,1,4,1,4,1,3,1,2,1,2,
58,AT,,,,,,,3,2,4,3,2,2,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,3,
69,AT,,,,,,,4,3,6,2,6,3,2,2,1,6,2,1,2,5,2,2,2,6,1,2,3,2,
98,AT,,,,,,,5,3,4,3,3,2,4,4,3,4,3,3,3,4,3,5,2,3,2,3,3,3,
145,AT,,,,,,,88,2,5,1,1,1,3,2,1,2,3,1,1,1,1,6,1,1,1,1,2,3,
153,AT,,,,,,,5,2,6,1,4,2,4,2,3,3,2,2,2,6,2,6,1,3,2,1,1,3,
179,AT,,,,,,,3,4,6,1,2,2,3,4,1,1,1,1,1,3,2,3,1,2,1,1,1,1,
208,AT,,,,,,,3,2,3,2,2,3,2,3,3,4,2,2,3,3,2,2,3,3,3,3,3,2,
215,AT,,,,,,,7,3,4,4,4,1,6,3,3,3,4,3,2,4,2,6,3,4,1,1,4,4,
218,AT,,,,,,,4,4,4,3,5,3,4,2,5,1,5,6,2,5,1,6,6,1,1,3,1,1,
296,AT,,,,,,,2,4,3,6,6,6,4,6,5,6,6,6,6,3,6,5,5,6,4,5,6,6,
315,AT,,,,,,,3,1,6,1,6,6,5,7,2,4,5,1,2,6,6,5,6,6,2,1,5,5,
330,AT,,,,,,,5,3,1,7,1,1,2,8,3,5,2,8,1,2,1,5,3,6,1,2,1,1,
336,AT,,,,,,,4,3,6,2,6,2,3,5,3,6,3,2,2,4,2,4,2,5,5,3,2,1,
408,AT,,,,,,,10,3,6,1,1,1,4,2,2,3,4,2,2,2,1,4,2,2,2,1,2,2,
414,AT,,,,,,,4,4,5,3,2,1,5,2,1,2,3,1,1,4,1,6,1,2,1,1,3,5,
418,AT,,,,,,,1,2,2,1,3,5,5,3,1,2,2,3,1,3,2,4,5,3,1,1,2,3,
430,AT,,,,,,,6,2,4,2,2,2,3,2,3,4,2,1,2,3,2,2,2,2,2,2,2,1,
456,AT,,,,,,,5,1,4,2,2,2,3,8,2,2,2,1,1,3,1,3,2,2,2,2,3,2,
481,AT,,,,,,,3,1,5,1,1,1,1,5,1,2,2,2,2,2,2,4,3,2,2,1,1,1,
491,AT,,,,,,,7,3,3,3,3,1,3,3,2,3,2,2,2,3,1,3,2,2,2,2,4,2,
504,AT,,,,,,,5,2,5,2,2,2,3,3,3,2,2,2,2,2,2,4,2,2,2,1,2,2,
546,AT,,,,,,,5,3,4,2,4,1,4,2,3,2,3,4,2,4,2,5,2,4,2,2,1,3,
567,AT,,,,,,,5,2,6,3,3,2,3,3,4,3,2,2,3,5,2,3,3,2,5,2,3,3,
569,AT,,,,,,,6,1,4,2,2,1,3,4,2,3,2,1,2,2,1,3,1,2,1,1,2,2,
624,AT,,,,,,,3,4,5,3,5,3,3,4,3,3,4,1,5,4,3,4,2,2,4,2,4,3,
641,AT,,,,,,,5,3,4,2,2,2,3,3,3,2,3,2,2,3,2,4,2,3,1,2,2,3,
659,AT,,,,,,,3,2,4,3,2,2,3,4,2,3,2,1,2,2,3,3,3,2,1,2,3,2,
672,AT,,,,,,,5,5,4,1,2,2,4,2,2,3,4,3,2,2,2,5,1,2,1,1,1,2,
687,AT,,,,,,,5,2,3,2,2,3,1,4,3,3,1,1,2,3,3,2,3,4,3,2,4,1,
708,AT,,,,,,,7,1,2,3,1,3,2,3,3,3,1,1,2,1,3,2,2,2,2,2,2,2,
729,AT,,,,,,,9,3,2,2,3,4,4,3,3,2,3,3,2,2,3,4,3,3,2,2,3,3,
734,AT,,,,,,,8,4,3,3,3,2,4,2,6,6,3,3,2,2,4,4,3,3,3,2,2,2,
736,AT,,,,,,,5,2,1,1,3,2,1,4,2,5,2,1,2,4,1,6,4,6,6,6,3,6,
827,AT,,,,,,,5,4,5,2,4,2,2,5,2,1,2,1,1,3,2,4,1,2,1,2,4,2,
840,AT,,,,,,,9,2,4,4,2,2,3,3,2,3,3,1,1,2,1,4,1,2,1,2,1,4,
846,AT,,,,,,,5,4,5,2,3,2,4,2,2,3,3,2,3,4,2,4,2,2,1,1,1,2,
873,AT,,,,,,,6,2,5,2,2,2,4,3,1,2,2,3,3,2,3,4,2,2,2,2,3,3,
908,AT,,,,,,,5,3,4,2,3,1,3,5,3,4,3,2,3,2,1,4,5,3,3,2,1,4,
918,AT,,,,,,,2,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,1,2,1,2,
964,AT,,,,,,,5,4,6,1,1,1,1,1,1,5,5,5,1,2,1,5,2,2,6,1,1,3,
971,AT,,,,,,,5,3,4,1,3,2,4,3,2,4,3,1,2,4,1,4,2,2,2,2,2,3,
972,AT,,,,,,,1,3,4,1,2,4,1,5,4,5,1,1,4,2,1,1,4,3,4,2,4,1,
990,AT,,,,,,,5,1,3,2,3,2,4,4,2,3,2,3,1,3,3,5,3,3,1,1,2,3,
998,AT,,,,,,,4,4,6,2,4,1,6,4,2,2,2,2,3,5,2,6,2,5,2,2,3,4,
1042,AT,,,,,,,6,4,4,2,3,1,5,4,3,4,3,4,4,5,3,5,2,3,2,3,3,3,
1045,AT,,,,,,,4,1,2,2,1,2,1,2,2,4,2,1,1,1,2,1,2,2,1,1,3,2,
1068,AT,,,,,,,7,3,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2,2,3,3,2,3,
1086,AT,,,,,,,0,2,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,
1098,AT,,,,,,,77,4,4,2,6,3,3,3,2,3,2,3,3,5,1,4,3,5,3,2,2,2,
1120,AT,,,,,,,4,4,3,1,1,1,2,6,4,1,1,1,1,1,1,6,1,1,1,1,1,6,
1152,AT,,,,,,,4,2,5,2,4,1,5,4,2,4,2,4,2,2,2,5,2,2,2,1,2,2,
1153,AT,,,,,,,10,1,6,2,4,2,2,5,2,3,2,1,2,6,2,3,3,6,2,2,3,2,
1212,AT,,,,,,,5,5,5,4,5,1,5,4,4,1,1,1,2,2,1,6,1,1,2,2,1,3,
1227,AT,,,,,,,5,3,4,2,2,2,5,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,
1229,AT,,,,,,,1,3,4,1,3,2,2,3,1,3,2,2,2,3,2,3,2,2,1,1,4,2,
1238,AT,,,,,,,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
1244,AT,,,,,,,88,1,4,1,3,1,5,2,1,4,4,1,2,2,2,2,2,2,2,2,2,2,
1266,AT,,,,,,,88,1,3,1,3,1,3,4,1,4,1,2,1,1,1,5,1,3,1,1,1,1,
1283,AT,,,,,,,5,3,4,3,6,2,2,4,3,6,3,2,2,5,2,3,2,6,2,3,3,2,
1300,AT,,,,,,,1,2,3,3,2,1,2,2,2,3,2,1,2,1,1,3,1,1,1,1,2,3,
1307,AT,,,,,,,6,2,4,4,2,2,5,2,3,3,4,2,3,3,1,5,2,2,2,3,2,4,
1324,AT,,,,,,,5,2,6,2,5,1,3,1,2,1,3,2,3,6,1,6,2,3,3,2,1,5,
1330,AT,,,,,,,5,4,5,1,5,1,3,2,1,2,2,2,3,3,1,6,2,3,1,2,3,2,
1341,AT,,,,,,,4,2,6,4,4,4,2,6,2,2,3,1,3,3,6,4,5,5,2,2,6,4,
1356,AT,,,,,,,7,6,6,2,5,1,3,1,4,1,6,1,2,5,1,6,1,2,1,2,1,4,
1365,AT,,,,,,,5,2,5,1,4,5,4,1,2,2,5,1,2,4,4,4,4,2,2,1,2,5,
1366,AT,,,,,,,5,4,3,1,3,2,2,4,2,3,3,1,3,2,1,4,2,2,1,2,3,2,
1368,AT,,,,,,,5,3,4,1,3,1,3,5,1,4,3,1,1,3,2,4,1,1,1,1,3,3,
1383,AT,,,,,,,6,2,3,1,2,2,1,4,3,4,1,2,1,2,2,1,2,1,1,1,1,1,
1424,AT,,,,,,,4,2,5,2,3,2,4,3,5,3,2,3,2,3,4,3,3,3,2,1,3,3,
1465,AT,,,,,,,7,3,4,2,2,2,5,3,3,2,4,2,2,2,3,6,2,2,2,2,2,4,
1478,AT,,,,,,,6,2,3,3,3,2,1,4,4,4,2,3,3,3,3,3,3,4,2,2,4,2,
1482,AT,,,,,,,4,3,6,1,3,1,3,2,2,2,2,2,1,4,1,2,2,2,1,1,1,2,
1499,AT,,,,,,,3,3,4,3,3,3,3,3,3,4,4,4,3,3,2,4,3,3,3,3,5,5,
1523,AT,,,,,,,5,2,3,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,
1563,AT,,,,,,,3,2,5,1,2,1,1,1,1,1,1,1,1,1,3,6,1,1,1,1,3,1,
1570,AT,,,,,,,3,3,5,2,5,2,6,3,2,2,2,3,3,4,5,6,2,3,1,2,2,4,
1596,AT,,,,,,,5,4,5,2,3,2,4,3,2,3,3,2,2,4,2,5,2,2,2,1,1,4,
1604,AT,,,,,,,6,1,6,3,1,1,2,1,1,1,1,2,1,3,3,5,4,2,1,1,1,3,
1657,AT,,,,,,,6,3,4,3,3,2,4,3,2,3,3,3,2,4,2,4,2,3,1,1,1,2,
1704,AT,,,,,,,5,3,5,2,2,2,4,3,2,4,3,2,2,4,2,4,2,1,1,1,1,4,
1725,AT,,,,,,,88,2,5,1,1,1,2,5,2,4,1,1,2,4,2,2,2,2,1,1,5,1,
1734,AT,,,,,,,5,2,3,3,2,3,2,3,2,4,3,2,3,2,2,3,3,3,1,2,2,3,
1754,AT,,,,,,,6,2,4,2,3,1,3,4,3,2,3,1,1,1,2,5,2,2,1,1,2,3,
1757,AT,,,,,,,77,2,4,3,2,1,4,5,3,4,1,1,2,2,1,3,3,3,1,1,1,3,
1778,AT,,,,,,,2,1,6,2,2,3,5,5,2,3,5,3,2,3,5,5,4,3,1,1,6,4,
1799,AT,,,,,,,4,2,3,2,2,1,4,2,2,3,2,3,2,1,1,5,3,2,2,2,3,3,
1816,AT,,,,,,,5,3,4,3,2,3,3,4,2,5,3,2,2,2,2,3,3,2,2,2,2,2,
1819,AT,,,,,,,88,5,6,3,4,1,6,2,2,2,4,1,2,5,1,6,1,4,1,1,1,4,
1878,AT,,,,,,,10,3,5,3,1,2,2,5,4,5,2,1,4,3,8,1,3,4,2,3,6,2,
1882,AT,,,,,,,5,4,4,3,1,1,3,6,2,4,1,1,1,1,2,4,2,2,1,2,1,2,
1884,AT,,,,,,,5,4,4,4,3,1,2,2,1,1,3,1,2,2,1,4,1,1,1,1,2,3,
1899,AT,,,,,,,5,2,4,1,1,2,3,4,2,2,2,4,2,3,2,4,2,3,1,1,3,3,
1981,AT,,,,,,,5,4,5,2,2,3,5,5,2,2,2,2,2,3,2,5,2,3,3,2,2,3,
1984,AT,,,,,,,88,2,4,3,2,2,5,2,2,4,4,2,3,2,2,4,2,1,2,2,3,3,
2004,AT,,,,,,,8,5,5,3,5,3,6,4,4,4,3,3,4,6,3,6,4,4,3,4,3,4,
2016,AT,,,,,,,5,3,4,3,2,2,4,4,3,4,4,3,3,3,3,5,3,3,3,3,3,4,
2024,AT,,,,,,,5,3,3,2,3,2,3,3,2,3,3,3,3,3,2,4,3,3,2,2,2,3,
2027,AT,,,,,,,4,1,4,1,2,2,3,4,1,4,1,1,2,1,2,4,4,1,1,1,4,1,
2066,AT,,,,,,,0,3,5,1,3,3,4,3,2,4,2,2,1,4,5,5,1,2,1,1,1,2,
2101,AT,,,,,,,7,2,2,3,2,2,2,5,3,5,2,2,3,2,3,2,4,3,2,2,5,1,
2127,AT,,,,,,,5,1,3,1,1,1,2,5,1,5,2,1,2,2,3,4,5,1,1,1,2,3,
2186,AT,,,,,,,5,2,3,2,4,5,1,6,2,6,1,1,1,3,1,1,6,6,1,1,1,1,
2188,AT,,,,,,,5,2,2,4,2,3,4,5,5,5,3,2,3,3,2,4,4,4,2,2,4,2,
2201,AT,,,,,,,88,1,1,5,1,1,2,4,2,3,2,1,2,1,4,5,1,1,1,2,3,4,
2204,AT,,,,,,,0,4,6,1,5,1,5,6,2,5,2,2,1,4,2,5,5,4,2,2,5,2,
2213,AT,,,,,,,3,4,5,2,2,4,2,2,2,1,2,2,4,4,8,5,2,3,2,4,2,2,
2219,AT,,,,,,,88,2,5,2,4,2,4,2,3,2,6,2,4,5,1,5,2,3,1,2,2,5,
2221,AT,,,,,,,7,2,4,2,3,2,3,3,2,3,3,2,2,3,2,4,2,2,1,1,3,3,
2236,AT,,,,,,,1,1,6,1,2,1,4,1,2,4,4,6,2,2,1,4,1,1,1,1,5,5,
2241,AT,,,,,,,5,3,4,2,2,2,1,2,1,4,2,1,2,2,3,1,3,2,2,2,2,3,
2254,AT,,,,,,,5,2,4,2,4,2,4,4,2,6,6,1,2,5,2,6,1,5,2,5,3,3,
2256,AT,,,,,,,0,5,5,3,2,2,3,5,3,3,2,3,2,6,3,6,1,1,1,3,1,4,
2263,AT,,,,,,,5,4,3,1,3,2,3,3,2,3,1,1,2,4,4,5,4,3,1,2,2,3,
2286,AT,,,,,,,6,3,4,3,4,3,4,3,3,3,3,3,2,4,2,3,3,2,2,2,1,2,
2301,AT,,,,,,,0,1,2,1,2,2,1,5,1,2,1,1,1,1,5,2,4,5,1,1,4,1,
2328,AT,,,,,,,2,2,3,4,4,3,4,4,4,3,4,4,4,4,3,3,5,4,4,4,3,4,
2375,AT,,,,,,,3,2,4,2,1,1,4,5,1,2,1,1,2,1,3,2,2,2,1,1,3,2,
2388,AT,,,,,,,5,3,5,2,2,2,4,2,2,4,3,2,2,2,2,4,2,2,1,1,1,3,
2406,AT,,,,,,,2,3,6,3,6,2,6,3,2,3,3,2,2,5,2,3,2,5,3,2,2,1,
2426,AT,,,,,,,5,2,5,4,4,3,3,3,5,3,3,2,5,3,3,5,5,4,3,3,4,2,
2447,AT,,,,,,,5,1,3,1,1,2,2,3,1,3,2,1,1,1,1,2,1,1,1,2,1,1,
2492,AT,,,,,,,3,2,4,2,3,3,4,2,3,5,2,3,2,3,5,5,4,5,2,1,3,3,
2512,AT,,,,,,,7,2,4,2,4,3,2,2,2,2,4,2,2,4,4,3,2,4,2,2,2,4,
2521,AT,,,,,,,8,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,
2530,AT,,,,,,,4,3,4,3,3,3,4,4,3,4,3,2,3,3,3,5,2,2,2,3,2,3,
2556,AT,,,,,,,4,2,2,1,2,1,3,2,3,4,3,1,2,2,2,4,2,2,1,2,3,3,
2559,AT,,,,,,,5,2,4,1,1,1,4,3,2,2,3,2,2,1,1,4,2,2,2,2,2,3,
2568,AT,,,,,,,6,2,4,3,2,2,5,5,3,4,3,2,2,2,2,4,2,4,2,2,4,4,
2574,AT,,,,,,,7,2,3,2,3,3,4,4,3,3,1,1,2,2,1,4,4,3,1,2,2,2,
2576,AT,,,,,,,5,2,4,2,2,2,1,4,2,3,1,3,2,2,2,1,3,4,1,1,3,1,
2580,AT,,,,,,,0,2,4,2,2,2,2,1,1,4,2,1,2,2,2,6,2,2,2,2,2,5,
2614,AT,,,,,,,6,6,6,3,5,1,5,1,5,1,5,1,2,6,1,6,1,1,1,1,1,1,
2618,AT,,,,,,,5,4,4,3,4,2,4,4,3,3,3,4,3,5,2,5,3,3,1,2,2,3,
2646,AT,,,,,,,77,2,2,1,2,1,3,4,1,3,2,2,2,2,2,4,2,2,1,1,1,2,
2674,AT,,,,,,,3,1,3,1,2,2,4,4,2,3,1,2,2,4,3,5,3,3,1,1,2,3,
2690,AT,,,,,,,3,2,6,1,5,5,2,5,2,2,4,1,2,5,4,3,5,6,1,1,6,2,
2699,AT,,,,,,,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,2,2,1,
2728,AT,,,,,,,7,1,2,2,1,2,4,3,1,5,2,1,4,1,2,3,2,1,1,3,2,2,
2766,AT,,,,,,,3,2,2,1,4,3,3,2,3,2,4,3,3,4,5,3,3,4,3,5,3,4,
2769,AT,,,,,,,5,1,2,1,2,2,1,6,1,4,1,1,2,2,2,2,3,2,2,2,3,1,
2813,AT,,,,,,,5,1,4,3,6,3,1,6,1,2,1,1,2,5,2,4,1,2,1,2,3,1,
2848,AT,,,,,,,88,3,5,2,3,2,5,5,3,2,3,2,2,3,2,6,2,3,2,2,2,5,
2856,AT,,,,,,,0,2,4,1,2,2,4,5,1,4,3,1,1,3,2,5,3,4,1,1,4,3,
2878,AT,,,,,,,2,1,6,1,2,1,4,6,2,1,4,3,1,2,1,6,1,3,1,1,2,3,
2923,AT,,,,,,,5,2,5,2,2,1,2,3,1,3,2,1,2,3,2,4,2,3,1,1,3,2,
2936,AT,,,,,,,2,3,3,1,4,1,3,4,1,3,1,1,1,3,2,2,2,2,2,2,4,2,
2942,AT,,,,,,,4,2,3,2,2,2,3,4,2,2,2,2,1,2,2,3,3,2,2,1,3,3,
2967,AT,,,,,,,5,3,5,2,2,3,3,2,3,3,3,2,3,2,3,4,2,2,3,2,4,2,
2991,AT,,,,,,,5,1,5,2,2,1,2,2,3,3,4,2,2,2,1,5,3,2,1,1,1,3,
3038,AT,,,,,,,3,2,2,2,1,1,3,2,4,5,1,1,3,1,1,3,2,1,1,1,3,2,
3052,AT,,,,,,,7,1,2,2,1,3,4,3,3,3,3,2,3,1,1,4,2,2,2,2,3,3,
3061,AT,,,,,,,5,1,4,2,1,1,3,4,3,5,2,2,2,2,2,2,2,2,2,2,2,2,
3097,AT,,,,,,,3,2,2,3,3,3,1,4,3,3,2,2,2,4,3,3,3,1,2,4,3,3,
3099,AT,,,,,,,5,1,5,1,3,2,3,3,1,2,2,2,1,3,3,5,1,3,1,1,1,1,
3168,AT,,,,,,,5,4,4,4,4,3,4,3,4,4,3,4,3,4,3,4,3,3,3,3,4,3,
3176,AT,,,,,,,5,1,5,2,1,1,5,1,3,3,5,2,1,3,2,6,2,1,2,1,4,2,
3178,AT,,,,,,,7,4,4,3,3,5,4,5,4,4,5,5,3,4,4,5,4,4,4,5,4,4,
3195,AT,,,,,,,0,2,3,2,2,2,3,4,1,3,2,1,1,1,1,3,1,1,1,1,1,1,
3201,AT,,,,,,,5,3,4,2,3,2,4,5,3,5,2,3,3,3,3,4,3,3,2,2,4,2,
3220,AT,,,,,,,5,2,2,2,2,1,2,3,3,2,1,1,1,1,1,3,1,1,2,1,2,2,
3240,AT,,,,,,,5,3,5,2,4,2,4,2,2,4,3,2,2,4,2,5,2,1,1,1,1,3,
3246,AT,,,,,,,5,3,5,3,4,2,4,4,2,2,3,1,2,4,2,6,2,2,1,2,2,3,
3253,AT,,,,,,,2,3,2,1,1,1,1,2,2,1,2,1,3,2,2,1,2,2,1,1,2,2,
3280,AT,,,,,,,4,2,6,1,3,1,3,2,2,1,3,1,1,4,1,6,3,4,1,1,2,3,
3295,AT,,,,,,,6,3,5,1,3,2,4,3,2,2,3,2,1,4,2,5,2,3,1,2,2,3,
3344,AT,,,,,,,5,3,5,2,3,2,5,4,2,3,2,2,3,4,2,5,2,4,2,1,2,3,
3347,AT,,,,,,,5,3,5,3,3,1,1,1,1,1,1,1,3,4,1,4,1,1,1,1,2,2,
3348,AT,,,,,,,7,3,3,3,3,4,3,2,3,3,3,3,3,3,1,2,3,2,2,3,3,3,
3379,AT,,,,,,,1,2,5,1,1,1,3,1,1,1,3,3,1,3,1,5,1,4,1,1,2,3,
3452,AT,,,,,,,8,2,6,5,2,1,4,2,5,4,5,1,1,1,2,3,1,2,2,1,3,1,
3508,AT,,,,,,,5,3,5,1,5,3,4,5,1,1,5,2,1,3,2,5,1,1,1,1,4,3,
3527,AT,,,,,,,1,2,6,1,4,2,3,4,1,5,3,2,2,4,2,4,3,3,1,1,3,3,
3532,AT,,,,,,,4,2,2,3,1,1,1,1,1,5,1,1,1,1,1,1,3,2,2,2,6,1,
3554,AT,,,,,,,5,2,4,2,1,2,1,1,2,1,4,3,1,4,2,5,1,2,1,1,3,1,
3557,AT,,,,,,,5,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,
3581,AT,,,,,,,5,2,5,2,2,2,4,3,3,3,3,2,1,3,2,5,2,2,2,1,1,2,
3603,AT,,,,,,,6,3,4,3,3,1,2,2,1,2,2,3,1,3,1,4,2,2,1,1,1,2,
3608,AT,,,,,,,88,5,6,1,3,1,5,5,2,6,3,3,1,5,2,6,1,3,1,4,2,4,
3637,AT,,,,,,,4,2,5,1,1,1,3,3,1,3,2,2,1,2,1,5,2,1,1,1,1,4,
3645,AT,,,,,,,4,1,4,1,1,1,2,3,1,2,2,5,1,4,2,4,1,1,1,1,1,2,
3653,AT,,,,,,,5,2,3,1,1,3,2,4,3,2,3,2,3,1,3,5,1,3,2,5,3,1,
3724,AT,,,,,,,5,2,3,3,4,2,2,2,2,2,2,3,2,3,2,2,2,4,2,2,2,2,
3726,AT,,,,,,,1,2,5,1,2,1,2,2,2,2,3,2,1,3,1,5,1,2,1,1,1,2,
3736,AT,,,,,,,0,1,4,1,2,3,2,3,3,3,2,1,3,4,4,3,3,3,1,1,3,3,
3742,AT,,,,,,,5,3,5,4,4,2,2,3,2,3,3,2,2,2,2,4,5,2,2,2,3,3,
3760,AT,,,,,,,88,2,3,2,2,2,2,4,2,2,1,1,1,2,2,4,2,2,2,1,2,1,
3884,AT,,,,,,,0,6,6,3,6,1,5,1,1,1,6,5,3,6,2,6,1,1,5,1,1,6,
3893,AT,,,,,,,4,2,3,2,3,2,2,3,3,4,2,1,2,2,3,2,4,3,2,2,3,2,
3895,AT,,,,,,,5,3,3,3,3,1,2,2,3,3,3,2,4,4,3,2,2,3,3,3,3,3,
3927,AT,,,,,,,2,3,4,2,4,1,5,5,1,2,5,1,2,5,6,4,2,6,2,2,5,5,
3937,AT,,,,,,,8,3,5,1,4,1,6,5,5,3,5,5,3,6,1,6,4,6,5,6,5,6,
3948,AT,,,,,,,5,1,3,1,3,4,1,4,2,5,3,1,2,4,3,2,6,3,2,2,3,3,
3955,AT,,,,,,,2,2,6,1,5,1,3,5,1,1,2,1,1,1,1,6,1,3,1,1,1,2,
3959,AT,,,,,,,5,2,4,2,2,2,3,3,2,3,2,2,2,2,2,4,2,1,1,1,1,2,
4022,AT,,,,,,,3,1,2,2,2,3,3,5,1,1,1,2,1,2,1,1,5,3,1,2,2,1,
4067,AT,,,,,,,3,4,4,2,4,1,3,3,3,3,3,2,2,4,2,5,2,2,2,2,3,4,
4083,AT,,,,,,,5,3,5,3,5,3,5,3,2,4,4,2,2,4,2,5,2,2,1,1,1,4,
4105,AT,,,,,,,0,1,6,1,4,4,1,4,1,3,5,1,1,5,8,2,4,3,1,1,5,3,
4108,AT,,,,,,,5,3,3,2,3,2,2,2,2,3,2,1,3,2,2,3,1,2,2,2,2,2,
4117,AT,,,,,,,2,2,3,2,2,2,3,4,2,2,3,1,2,2,3,3,3,2,2,1,3,2,
4128,AT,,,,,,,3,1,5,1,1,1,4,3,1,4,3,1,2,1,4,4,3,2,1,1,5,3,
4138,AT,,,,,,,6,4,4,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,2,
4199,AT,,,,,,,4,1,6,3,5,3,6,5,2,2,2,2,2,2,2,6,3,2,2,2,3,5,
4252,AT,,,,,,,5,3,3,2,2,3,3,3,3,3,3,2,3,2,2,3,3,3,1,3,2,3,
4259,AT,,,,,,,88,3,4,2,3,3,3,2,3,3,2,2,2,2,2,3,3,3,1,2,2,2,
4289,AT,,,,,,,5,2,5,3,2,1,5,2,1,2,4,2,1,4,1,6,1,1,1,2,4,2,
4308,AT,,,,,,,7,2,3,5,3,2,5,5,5,5,4,1,4,2,8,4,4,2,3,3,2,3,
4323,AT,,,,,,,2,1,6,1,3,3,4,3,1,4,5,1,1,3,3,5,5,3,3,1,6,4,
4325,AT,,,,,,,2,3,6,1,3,1,4,6,3,2,3,3,2,3,1,5,5,5,1,1,6,2,
4330,AT,,,,,,,5,4,5,2,2,2,4,3,3,3,4,2,2,4,2,5,2,2,2,2,2,4,
4337,AT,,,,,,,10,4,3,2,4,3,2,3,2,3,2,2,3,2,4,3,3,3,1,2,2,2,
4359,AT,,,,,,,1,2,6,2,4,2,2,6,1,6,1,1,2,6,2,5,1,6,1,1,2,1,
4363,AT,,,,,,,5,4,5,2,3,2,4,3,2,2,3,2,2,3,4,5,2,3,2,3,2,4,
4385,AT,,,,,,,77,3,4,2,3,2,3,2,3,3,2,1,2,3,2,3,2,2,2,2,2,3,
4403,AT,,,,,,,5,2,5,1,4,2,1,6,1,1,1,1,1,2,1,3,5,2,1,2,1,1,
4434,AT,,,,,,,77,2,5,6,2,1,3,1,2,5,2,3,1,2,1,3,4,2,1,1,1,3,
4447,AT,,,,,,,5,3,4,5,3,4,3,3,2,2,3,1,3,4,1,5,2,2,2,1,2,3,
4475,AT,,,,,,,5,3,4,1,3,1,5,3,2,2,3,2,1,4,1,6,1,3,1,1,1,4,
4493,AT,,,,,,,6,2,3,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,
4504,AT,,,,,,,5,3,6,3,4,3,5,5,3,2,4,1,2,5,3,5,3,2,1,2,3,5,
4534,AT,,,,,,,0,2,5,1,3,3,2,5,3,3,3,1,3,4,5,3,6,4,1,1,4,2,
4536,AT,,,,,,,4,2,3,3,1,3,2,1,3,1,4,2,2,1,2,5,2,1,2,3,2,3,
4539,AT,,,,,,,3,2,5,2,6,2,6,2,1,3,4,3,2,4,2,5,3,5,1,1,1,3,
4559,AT,,,,,,,5,2,5,1,5,1,5,4,1,5,1,3,1,5,1,3,1,1,1,1,1,3,
4560,AT,,,,,,,4,1,6,1,6,2,2,5,2,5,2,2,2,6,2,1,1,6,2,2,1,2,
4565,AT,,,,,,,88,2,3,2,3,4,3,3,3,2,3,3,2,2,2,3,3,2,2,2,3,2,
4607,AT,,,,,,,6,3,4,3,3,3,3,4,3,4,2,3,3,3,3,3,4,3,2,3,4,2,
4637,AT,,,,,,,5,2,6,1,2,1,6,1,1,1,1,5,1,1,1,6,1,1,1,1,2,1,
4657,AT,,,,,,,3,3,5,2,3,3,4,4,2,4,2,2,3,4,3,3,3,4,2,3,4,2,
4699,AT,,,,,,,2,3,6,4,4,1,3,3,3,1,3,3,2,5,2,5,1,1,1,1,1,3,
4709,AT,,,,,,,5,1,4,1,1,1,1,5,2,2,2,1,1,3,2,5,2,2,2,2,2,4,
4744,AT,,,,,,,8,3,4,3,3,1,3,3,3,3,4,1,3,5,1,4,2,2,2,3,4,3,
4770,AT,,,,,,,88,1,6,3,2,1,2,1,2,1,1,3,1,3,2,5,1,2,1,2,4,2,
4773,AT,,,,,,,77,5,6,3,5,1,6,2,1,2,3,6,1,6,1,6,2,6,1,1,1,3,
4790,AT,,,,,,,5,1,5,1,4,1,4,6,1,6,1,1,3,3,1,6,1,3,1,1,1,1,
4791,AT,,,,,,,5,3,4,3,2,2,4,4,3,4,3,3,4,4,3,5,3,3,2,4,4,3,
4793,AT,,,,,,,3,3,4,3,6,3,6,6,1,4,4,1,1,4,2,6,1,4,1,1,2,4,
4798,AT,,,,,,,2,1,5,2,2,1,3,2,1,2,2,2,3,3,4,6,1,3,1,2,5,2,
4878,AT,,,,,,,3,3,3,2,3,2,3,4,3,3,2,2,2,4,3,3,2,3,2,2,3,3,
4899,AT,,,,,,,5,3,3,1,4,1,3,4,2,3,2,3,3,4,1,5,2,2,1,2,3,3,
