essround,idno,cntry,nwspol,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,stfeco,stfedu,stfhlth,
9,2521,AT,75,,,,,,6,8,10,
9,2530,AT,60,,,,,,7,8,9,
9,2556,AT,60,,,,,,8,4,7,
9,2559,AT,20,,,,,,5,7,9,
9,2568,AT,30,,,,,,7,6,8,
9,2574,AT,20,,,,,,10,7,10,
9,2576,AT,30,,,,,,7,8,8,
9,2580,AT,90,,,,,,6,6,8,
9,2614,AT,60,,,,,,7,9,9,
9,2618,AT,10,,,,,,88,7,7,
9,2646,AT,120,,,,,,8,6,8,
9,2674,AT,120,,,,,,8,6,6,
9,2690,AT,120,,,,,,5,2,5,
9,2699,AT,30,,,,,,4,6,7,
9,2728,AT,30,,,,,,9,8,8,
9,2766,AT,40,,,,,,9,6,7,
9,2769,AT,30,,,,,,8,8,8,
9,2813,AT,30,,,,,,7,3,8,
9,2848,AT,15,,,,,,6,2,7,
9,2856,AT,30,,,,,,9,3,7,
9,2878,AT,30,,,,,,5,2,10,
9,2923,AT,90,,,,,,6,4,5,
9,2936,AT,45,,,,,,9,7,8,
9,2942,AT,10,,,,,,7,7,7,
9,2967,AT,120,,,,,,7,7,8,
9,2991,AT,15,,,,,,10,3,8,
9,3038,AT,45,,,,,,5,10,10,
9,3052,AT,60,,,,,,5,2,6,
9,3061,AT,60,,,,,,6,9,8,
9,3097,AT,120,,,,,,5,6,7,
9,3099,AT,30,,,,,,7,3,7,
9,3168,AT,30,,,,,,4,88,7,
9,3176,AT,45,,,,,,9,9,8,
9,3178,AT,20,,,,,,8,7,8,
9,3195,AT,30,,,,,,8,9,10,
9,3201,AT,0,,,,,,8,7,8,
9,3220,AT,15,,,,,,6,4,6,
9,3240,AT,30,,,,,,6,7,8,
9,3246,AT,180,,,,,,5,1,5,
9,3253,AT,5,,,,,,8,8,8,
9,3280,AT,30,,,,,,8,7,8,
9,3295,AT,90,,,,,,8,7,8,
9,3344,AT,30,,,,,,7,8,5,
