cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtcfr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
FR,ESS1-8e01,1.0,12.12.2018,155288,ESS6e02_4,6,2.4,71,0.471086339518317,0.570867422722172,2.702677846,5,66,1,5,1,2,1,2,6,2,2,1,2,3,4,4,4,5,4,2,1,4,3
FR,ESS1-8e01,1.0,12.12.2018,155289,ESS6e02_4,6,2.4,74,0.942172679036634,1.14173484544434,2.702677846,1,4,2,5,1,3,3,3,4,3,3,3,2,3,4,2,4,2,4,3,2,4,3
FR,ESS1-8e01,1.0,12.12.2018,155290,ESS6e02_4,6,2.4,75,0.942172679036634,1.72483911916185,2.702677846,7,88,5,5,4,5,4,5,3,4,2,5,5,2,5,2,5,4,5,2,2,3,5
FR,ESS1-8e01,1.0,12.12.2018,155291,ESS6e02_4,6,2.4,76,0.471086339518317,1.0239390644994,2.702677846,10,2,3,5,5,4,2,2,5,4,2,1,1,2,5,1,2,2,2,1,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,155292,ESS6e02_4,6,2.4,78,1.88434535807327,2.23877775091217,2.702677846,4,10,2,3,2,2,1,2,2,2,1,1,3,2,2,2,2,3,3,1,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,155293,ESS6e02_4,6,2.4,80,1.93879798795881,1.78238743288076,2.702677846,5,66,2,5,2,1,1,1,5,1,1,1,4,3,3,3,3,2,4,3,3,4,1
FR,ESS1-8e01,1.0,12.12.2018,155294,ESS6e02_4,6,2.4,86,0.484699496989702,0.513088657283734,2.702677846,6,10,4,6,2,5,5,2,3,2,2,1,1,2,5,3,5,2,2,1,1,5,4
FR,ESS1-8e01,1.0,12.12.2018,155295,ESS6e02_4,6,2.4,89,0.484699496989702,0.598783784110457,2.702677846,4,66,5,6,1,6,5,5,5,1,4,3,2,5,6,3,2,5,5,1,1,4,3
FR,ESS1-8e01,1.0,12.12.2018,155296,ESS6e02_4,6,2.4,90,1.93879798795881,2.34945596532617,2.702677846,3,12,1,5,1,2,3,1,4,2,1,1,1,3,3,2,3,1,4,1,2,4,2
FR,ESS1-8e01,1.0,12.12.2018,155297,ESS6e02_4,6,2.4,91,0.484699496989702,0.864901636779024,2.702677846,8,10,4,6,2,2,2,2,2,1,2,2,1,1,1,1,4,2,2,2,2,2,3
FR,ESS1-8e01,1.0,12.12.2018,155298,ESS6e02_4,6,2.4,94,0.967770634663687,1.16695205729359,2.702677846,2,9,5,5,1,6,4,1,8,5,5,2,1,5,5,4,5,2,5,2,5,5,5
FR,ESS1-8e01,1.0,12.12.2018,155299,ESS6e02_4,6,2.4,97,0.965932538932495,1.16473565444131,2.702677846,10,2,2,6,2,2,4,3,1,1,4,1,2,3,5,1,4,5,6,1,2,3,1
FR,ESS1-8e01,1.0,12.12.2018,155300,ESS6e02_4,6,2.4,99,0.482966269466247,0.596101633364467,2.702677846,9,66,2,5,3,3,6,2,5,5,2,2,1,2,5,4,1,4,2,2,5,2,2
FR,ESS1-8e01,1.0,12.12.2018,155301,ESS6e02_4,6,2.4,100,0.482966269466247,0.502109304321004,2.702677846,6,66,3,6,1,5,4,6,6,2,1,4,2,1,5,3,6,1,5,2,1,1,5
FR,ESS1-8e01,1.0,12.12.2018,155302,ESS6e02_4,6,2.4,104,0.482966269466247,0.585263647835448,2.702677846,6,10,4,5,3,3,3,4,4,3,1,2,2,2,4,3,5,1,4,2,4,4,3
FR,ESS1-8e01,1.0,12.12.2018,155303,ESS6e02_4,6,2.4,105,0.482966269466247,0.884168192674428,2.702677846,5,66,2,5,2,2,2,4,6,2,2,3,2,2,5,1,6,2,2,1,1,1,5
FR,ESS1-8e01,1.0,12.12.2018,155304,ESS6e02_4,6,2.4,107,0.482966269466247,0.444003457063744,2.702677846,5,66,1,6,1,3,1,1,4,1,1,1,1,1,4,1,1,4,4,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155305,ESS6e02_4,6,2.4,115,0.965932538932495,1.14761780147102,2.702677846,5,2,3,4,3,3,3,3,4,2,3,3,4,3,4,3,4,3,4,3,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,155306,ESS6e02_4,6,2.4,117,0.482966269466247,0.884168192674428,2.702677846,4,66,4,5,3,3,1,3,3,5,1,5,1,3,3,1,5,1,1,1,1,1,5
FR,ESS1-8e01,1.0,12.12.2018,155307,ESS6e02_4,6,2.4,118,0.482678368291111,0.861295118657159,2.702677846,5,2,1,5,1,3,1,1,1,1,1,1,1,3,2,1,2,2,2,2,4,1,1
FR,ESS1-8e01,1.0,12.12.2018,155308,ESS6e02_4,6,2.4,131,0.959322090036413,1.01551019989993,2.702677846,5,88,3,6,2,3,2,2,4,2,3,2,3,4,2,2,4,3,5,4,2,2,4
FR,ESS1-8e01,1.0,12.12.2018,155309,ESS6e02_4,6,2.4,135,0.479661045018207,0.878117305663548,2.702677846,9,8,6,1,3,6,3,2,8,2,1,1,1,1,6,3,6,4,5,3,3,5,4
FR,ESS1-8e01,1.0,12.12.2018,155310,ESS6e02_4,6,2.4,139,0.959322090036413,1.01551019989993,2.702677846,5,14,3,5,1,5,2,4,2,2,2,2,4,2,3,1,5,5,4,1,3,3,3
FR,ESS1-8e01,1.0,12.12.2018,155311,ESS6e02_4,6,2.4,140,0.959322090036413,1.15676467799027,2.702677846,9,77,2,5,1,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,4
FR,ESS1-8e01,1.0,12.12.2018,155312,ESS6e02_4,6,2.4,144,0.463525671040485,0.248698626784952,2.702677846,3,66,3,5,1,5,4,4,5,3,3,3,1,3,4,2,5,3,5,1,1,4,3
FR,ESS1-8e01,1.0,12.12.2018,155313,ESS6e02_4,6,2.4,146,0.463525671040485,0.814953208842574,2.702677846,10,2,1,6,4,5,2,5,5,4,3,1,1,2,5,1,4,2,2,1,1,2,1
FR,ESS1-8e01,1.0,12.12.2018,155314,ESS6e02_4,6,2.4,147,1.85410268416194,1.9756423967166,2.702677846,2,66,3,5,2,1,1,5,5,3,3,2,2,3,4,3,5,3,4,2,1,2,2
FR,ESS1-8e01,1.0,12.12.2018,155315,ESS6e02_4,6,2.4,148,0.92705134208097,0.668392077287858,2.702677846,2,9,3,5,2,5,3,2,4,3,4,3,3,3,4,2,4,4,5,2,1,3,3
FR,ESS1-8e01,1.0,12.12.2018,155316,ESS6e02_4,6,2.4,149,1.85410268416194,1.28562499574788,2.702677846,3,9,2,6,2,5,4,3,5,3,3,4,4,4,5,4,4,4,4,2,2,3,4
FR,ESS1-8e01,1.0,12.12.2018,155317,ESS6e02_4,6,2.4,150,1.39057697167903,1.00258808605233,2.702677846,77,77,1,6,1,6,1,1,3,1,2,1,1,1,4,1,2,1,5,2,1,2,1
FR,ESS1-8e01,1.0,12.12.2018,155318,ESS6e02_4,6,2.4,153,0.92705134208097,0.642812497873938,2.702677846,5,10,3,4,3,4,3,3,5,4,4,1,2,4,3,3,4,2,5,2,4,5,1
