cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtcfr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
FR,ESS1-8e01,1.0,12.12.2018,156795,ESS6e02_4,6,2.4,3208,1.4270775654236,1.13111875809249,2.702677846,7,2,4,5,2,3,1,2,3,3,1,2,3,3,5,1,4,1,2,2,1,2,2
FR,ESS1-8e01,1.0,12.12.2018,156796,ESS6e02_4,6,2.4,3209,0.951385071969215,0.974536001465204,2.702677846,1,9,5,5,2,2,1,5,5,2,2,2,5,2,5,2,5,2,5,1,2,3,1
FR,ESS1-8e01,1.0,12.12.2018,156797,ESS6e02_4,6,2.4,3210,0.951385071969215,0.993990324014502,2.702677846,8,10,1,5,1,4,1,1,5,2,4,2,4,4,5,2,3,4,5,2,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,156798,ESS6e02_4,6,2.4,3213,0.475692535984607,0.506657963687313,2.702677846,4,6,3,6,1,6,6,2,3,1,1,2,2,2,6,3,5,3,5,2,2,6,3
FR,ESS1-8e01,1.0,12.12.2018,156799,ESS6e02_4,6,2.4,3214,0.951385071969215,0.754079194534966,2.702677846,7,10,4,5,1,1,1,5,4,4,4,2,4,4,2,3,5,1,3,1,3,2,4
FR,ESS1-8e01,1.0,12.12.2018,156800,ESS6e02_4,6,2.4,3216,0.951385071969215,1.50163884527964,2.702677846,5,66,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,5,4,1,3,4
FR,ESS1-8e01,1.0,12.12.2018,156801,ESS6e02_4,6,2.4,3217,0.951385071969215,1.01331592737463,2.702677846,5,66,3,5,2,4,3,3,6,4,1,1,2,2,6,2,4,4,4,2,2,5,3
FR,ESS1-8e01,1.0,12.12.2018,156802,ESS6e02_4,6,2.4,3218,0.951385071969215,0.993990324014502,2.702677846,6,77,1,5,2,4,1,4,4,4,3,4,3,1,5,2,5,2,4,1,1,2,4
FR,ESS1-8e01,1.0,12.12.2018,156803,ESS6e02_4,6,2.4,3220,0.968730414282659,0.767827320447413,2.702677846,5,10,2,5,1,4,2,1,5,1,4,3,4,3,3,1,2,4,2,2,1,6,1
FR,ESS1-8e01,1.0,12.12.2018,156804,ESS6e02_4,6,2.4,3221,0.968730414282659,1.03179037284348,2.702677846,2,6,2,5,1,4,4,5,5,3,2,3,4,4,4,4,5,2,4,3,2,6,5
FR,ESS1-8e01,1.0,12.12.2018,156805,ESS6e02_4,6,2.4,3222,0.480699830955418,0.624731276544974,2.702677846,6,10,3,5,2,3,2,2,3,3,2,2,1,1,4,2,4,3,5,1,4,4,2
FR,ESS1-8e01,1.0,12.12.2018,156806,ESS6e02_4,6,2.4,3224,0.968730414282659,0.884125373881013,2.702677846,8,10,4,6,3,4,3,4,5,4,4,4,5,5,5,3,4,1,2,2,2,1,4
FR,ESS1-8e01,1.0,12.12.2018,156807,ESS6e02_4,6,2.4,3225,1.45309557811837,2.28733494938466,2.702677846,5,9,2,4,1,2,1,2,3,1,2,1,1,2,4,2,6,2,1,1,2,1,5
FR,ESS1-8e01,1.0,12.12.2018,156808,ESS6e02_4,6,2.4,3226,0.968730414282659,0.884125373881013,2.702677846,8,10,4,4,3,4,3,4,5,3,3,2,1,4,4,2,4,2,5,3,4,4,3
FR,ESS1-8e01,1.0,12.12.2018,156809,ESS6e02_4,6,2.4,3228,1.92279932382167,3.5566433635633,2.702677846,5,66,1,4,2,3,2,4,5,2,1,1,2,3,4,2,1,2,5,2,3,4,1
FR,ESS1-8e01,1.0,12.12.2018,156810,ESS6e02_4,6,2.4,3229,0.48436520714133,0.764508117454334,2.702677846,5,66,5,5,1,5,1,6,5,3,1,4,1,3,6,1,6,1,2,1,2,3,5
FR,ESS1-8e01,1.0,12.12.2018,156811,ESS6e02_4,6,2.4,3230,0.48436520714133,0.764508117454334,2.702677846,7,10,2,6,1,2,4,1,5,1,1,1,4,1,6,1,6,5,4,1,1,2,5
FR,ESS1-8e01,1.0,12.12.2018,156812,ESS6e02_4,6,2.4,3231,1.45309557811837,1.54628223813888,2.702677846,5,66,2,5,1,3,2,2,2,1,1,4,4,1,2,1,5,1,1,1,1,2,5
FR,ESS1-8e01,1.0,12.12.2018,156813,ESS6e02_4,6,2.4,3232,1.45309557811837,2.28733494938466,2.702677846,5,66,3,5,1,2,2,2,2,3,2,2,2,2,4,3,4,4,3,2,2,4,4
FR,ESS1-8e01,1.0,12.12.2018,156814,ESS6e02_4,6,2.4,3233,0.964973713077107,0.9884553074968,2.702677846,5,66,1,4,1,1,2,5,2,2,1,6,1,1,4,1,2,1,1,1,3,1,5
FR,ESS1-8e01,1.0,12.12.2018,156815,ESS6e02_4,6,2.4,3235,1.45309557811837,1.48845509160151,2.702677846,5,66,1,5,2,2,2,4,4,4,2,2,2,1,2,3,5,2,2,2,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,156816,ESS6e02_4,6,2.4,3236,0.485670403448241,0.504909203685751,2.702677846,0,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,156817,ESS6e02_4,6,2.4,3238,0.485670403448241,0.51728534509157,2.702677846,0,4,1,5,1,6,5,3,5,3,1,2,4,1,6,5,3,4,5,1,2,1,3
FR,ESS1-8e01,1.0,12.12.2018,156818,ESS6e02_4,6,2.4,3239,0.485670403448241,0.764499530806786,2.702677846,5,12,4,5,2,2,2,2,5,2,2,2,2,2,2,2,6,6,6,2,1,4,5
FR,ESS1-8e01,1.0,12.12.2018,156819,ESS6e02_4,6,2.4,3240,0.971340806896482,1.01483972349609,2.702677846,10,66,1,5,1,4,4,1,6,2,4,4,1,1,4,1,4,4,6,1,2,6,1
FR,ESS1-8e01,1.0,12.12.2018,156820,ESS6e02_4,6,2.4,3247,0.485670403448241,0.516816326297142,2.702677846,7,10,2,4,2,3,4,5,3,3,3,3,2,1,3,3,5,2,4,2,2,3,4
FR,ESS1-8e01,1.0,12.12.2018,156821,ESS6e02_4,6,2.4,3251,0.971340806896482,1.03457069018314,2.702677846,5,9,3,4,1,2,4,2,3,3,4,2,4,2,3,2,2,2,4,2,2,5,2
FR,ESS1-8e01,1.0,12.12.2018,156822,ESS6e02_4,6,2.4,3254,0.980994785336272,1.71338438105704,2.702677846,3,9,2,6,1,3,4,1,5,2,4,1,1,1,3,3,4,2,5,1,3,4,2
FR,ESS1-8e01,1.0,12.12.2018,156823,ESS6e02_4,6,2.4,3261,0.980994785336272,2.54792483219505,2.702677846,88,66,2,6,1,1,1,2,4,2,1,5,3,1,6,2,6,1,3,2,3,5,6
FR,ESS1-8e01,1.0,12.12.2018,156824,ESS6e02_4,6,2.4,3262,1.47149213415053,2.31629318598955,2.702677846,10,10,2,5,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2
FR,ESS1-8e01,1.0,12.12.2018,156825,ESS6e02_4,6,2.4,3265,1.47149213415053,2.86365613309306,2.702677846,5,66,5,1,1,2,5,3,6,3,6,1,2,5,2,3,5,6,4,2,4,4,1
FR,ESS1-8e01,1.0,12.12.2018,156826,ESS6e02_4,6,2.4,3269,0.490497392668136,0.509927403818831,2.702677846,6,66,1,4,2,3,2,1,5,2,2,2,2,2,3,2,3,2,5,2,1,2,2
FR,ESS1-8e01,1.0,12.12.2018,156827,ESS6e02_4,6,2.4,3270,0.959183821716212,0.99717984907557,2.702677846,7,66,4,5,1,3,2,2,2,2,2,2,4,2,4,2,5,2,4,2,2,5,4
FR,ESS1-8e01,1.0,12.12.2018,156828,ESS6e02_4,6,2.4,3272,0.959183821716212,1.02162234037718,2.702677846,4,12,4,6,2,5,5,4,6,1,1,2,2,4,5,5,5,3,5,2,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,156829,ESS6e02_4,6,2.4,3274,0.479591910858106,0.510348021480638,2.702677846,5,1,2,6,1,4,3,1,5,1,1,1,2,1,2,1,4,1,4,1,2,4,1
FR,ESS1-8e01,1.0,12.12.2018,156830,ESS6e02_4,6,2.4,3275,0.959183821716212,1.00213832004295,2.702677846,8,10,3,4,1,4,1,3,5,4,1,3,4,3,5,3,6,3,5,2,3,2,3
FR,ESS1-8e01,1.0,12.12.2018,156831,ESS6e02_4,6,2.4,3277,1.91836764343242,2.04324468075436,2.702677846,3,9,5,5,2,3,2,5,5,3,5,2,3,2,4,3,6,2,5,2,3,5,2
FR,ESS1-8e01,1.0,12.12.2018,156832,ESS6e02_4,6,2.4,3284,1.42054010130305,1.125937085788,2.702677846,6,10,4,5,2,4,3,5,3,3,3,3,3,3,3,2,6,2,4,2,2,2,3
FR,ESS1-8e01,1.0,12.12.2018,156833,ESS6e02_4,6,2.4,3285,1.42054010130305,1.84617462649511,2.702677846,5,66,5,5,2,2,2,3,2,2,2,2,2,2,4,2,5,4,1,2,2,3,6
FR,ESS1-8e01,1.0,12.12.2018,156834,ESS6e02_4,6,2.4,3286,0.947026762425629,0.970071637160052,2.702677846,5,15,3,4,3,4,3,3,3,4,3,3,2,3,4,3,3,4,4,3,1,3,3
FR,ESS1-8e01,1.0,12.12.2018,156835,ESS6e02_4,6,2.4,3289,0.473513381212814,0.492270606866801,2.702677846,8,6,2,5,2,2,2,2,4,4,2,3,3,3,4,1,5,3,3,3,1,3,3
FR,ESS1-8e01,1.0,12.12.2018,156836,ESS6e02_4,6,2.4,3291,0.473513381212814,0.375312373114512,2.702677846,3,66,1,4,1,4,1,1,3,1,1,4,1,1,4,1,3,1,4,1,2,1,4
FR,ESS1-8e01,1.0,12.12.2018,156837,ESS6e02_4,6,2.4,3292,0.473513381212814,0.375312373114512,2.702677846,77,77,3,6,1,6,5,2,6,1,5,1,5,2,6,3,2,2,5,1,1,5,3
FR,ESS1-8e01,1.0,12.12.2018,156838,ESS6e02_4,6,2.4,3296,0.947026762425629,1.65405656323329,2.702677846,5,9,1,4,1,1,1,1,4,1,3,2,1,1,4,1,4,4,3,1,1,3,3
FR,ESS1-8e01,1.0,12.12.2018,156839,ESS6e02_4,6,2.4,3299,0.473513381212814,0.921499657892832,2.702677846,5,66,2,4,1,3,1,2,4,1,1,3,1,2,5,1,4,3,2,1,1,1,4
FR,ESS1-8e01,1.0,12.12.2018,156840,ESS6e02_4,6,2.4,3300,0.947026762425629,1.00775935446528,2.702677846,2,5,3,5,2,4,2,3,4,3,3,2,3,3,5,3,4,2,2,2,1,4,3
FR,ESS1-8e01,1.0,12.12.2018,156841,ESS6e02_4,6,2.4,3304,0.476777729450517,0.893471362721505,2.702677846,4,66,5,4,2,2,2,5,4,3,2,5,4,2,4,2,5,1,6,2,2,5,4
FR,ESS1-8e01,1.0,12.12.2018,156842,ESS6e02_4,6,2.4,3306,0.476777729450517,0.893471362721505,2.702677846,3,12,3,5,2,3,1,3,5,2,3,2,2,2,3,2,3,4,3,1,2,4,2
FR,ESS1-8e01,1.0,12.12.2018,156843,ESS6e02_4,6,2.4,3308,0.476777729450517,0.752532260807105,2.702677846,5,77,4,5,3,4,2,4,3,1,2,4,2,2,5,1,4,3,4,1,2,3,4
FR,ESS1-8e01,1.0,12.12.2018,156844,ESS6e02_4,6,2.4,3310,0.472448300011486,0.614007350452037,2.702677846,88,15,1,3,1,1,2,1,3,2,3,2,1,3,2,1,2,4,2,1,3,1,3
FR,ESS1-8e01,1.0,12.12.2018,156845,ESS6e02_4,6,2.4,3311,0.476777729450517,1.23832851556711,2.702677846,8,66,3,5,2,5,2,5,5,2,1,5,4,2,5,1,5,4,5,2,2,4,5
FR,ESS1-8e01,1.0,12.12.2018,156846,ESS6e02_4,6,2.4,3312,0.953555458901034,0.755799469193037,2.702677846,3,66,4,6,2,4,2,4,3,2,1,4,4,1,5,1,5,2,4,1,2,1,4
FR,ESS1-8e01,1.0,12.12.2018,156847,ESS6e02_4,6,2.4,3313,1.4303331457243,2.25150433512088,2.702677846,5,9,2,3,1,2,1,2,4,1,3,1,1,1,3,2,3,1,5,2,1,1,2
FR,ESS1-8e01,1.0,12.12.2018,156848,ESS6e02_4,6,2.4,3314,1.4303331457243,2.68041400828195,2.702677846,88,66,3,4,3,4,1,2,4,3,2,1,2,2,1,1,4,3,3,3,2,3,1
FR,ESS1-8e01,1.0,12.12.2018,156849,ESS6e02_4,6,2.4,3315,1.4303331457243,2.25759671513969,2.702677846,0,66,2,6,1,3,2,3,5,1,4,2,1,1,4,2,6,1,5,2,2,4,3
FR,ESS1-8e01,1.0,12.12.2018,156850,ESS6e02_4,6,2.4,3316,0.953555458901034,1.50506452161421,2.702677846,5,66,2,5,3,4,2,4,3,2,2,4,3,1,5,1,4,1,5,1,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,156851,ESS6e02_4,6,2.4,3318,0.492024905749588,0.511515426082695,2.702677846,5,9,5,6,2,6,2,4,2,3,4,2,2,2,5,2,5,2,4,3,3,2,3
FR,ESS1-8e01,1.0,12.12.2018,156852,ESS6e02_4,6,2.4,3320,0.492024905749588,0.44102136611082,2.702677846,6,9,4,6,3,5,4,4,4,3,4,3,4,3,4,3,4,3,3,2,3,3,4
FR,ESS1-8e01,1.0,12.12.2018,156853,ESS6e02_4,6,2.4,3324,0.984049811499175,1.02811786709444,2.702677846,10,10,2,5,1,5,1,5,3,1,2,3,3,1,5,1,6,4,3,1,1,1,3
FR,ESS1-8e01,1.0,12.12.2018,156854,ESS6e02_4,6,2.4,3327,0.984049811499175,0.898106836207365,2.702677846,5,66,4,3,3,1,2,2,2,1,3,2,2,3,2,2,2,2,1,4,2,1,3
FR,ESS1-8e01,1.0,12.12.2018,156855,ESS6e02_4,6,2.4,3330,0.492024905749588,0.511515426082695,2.702677846,9,10,6,3,4,3,5,2,2,2,2,4,4,1,5,6,4,1,3,1,2,1,2
FR,ESS1-8e01,1.0,12.12.2018,156856,ESS6e02_4,6,2.4,3334,0.714825358639744,0.787633923180449,2.702677846,5,66,5,6,4,5,5,1,3,2,2,4,3,3,5,8,6,3,5,1,5,5,5
FR,ESS1-8e01,1.0,12.12.2018,156857,ESS6e02_4,6,2.4,3335,1.42965071727949,1.03756877998614,2.702677846,0,9,1,5,1,6,1,5,5,4,3,1,2,1,5,2,6,2,5,1,4,4,3
FR,ESS1-8e01,1.0,12.12.2018,156858,ESS6e02_4,6,2.4,3336,2.14447601200887,2.76912685495313,2.702677846,5,66,4,4,1,3,2,3,4,2,4,3,4,4,3,4,4,4,4,2,4,3,3
FR,ESS1-8e01,1.0,12.12.2018,156859,ESS6e02_4,6,2.4,3338,1.42965071727949,0.791053529611807,2.702677846,10,10,2,5,1,4,1,2,2,2,2,2,2,2,5,2,5,2,4,2,2,2,4
FR,ESS1-8e01,1.0,12.12.2018,156860,ESS6e02_4,6,2.4,3340,1.42965071727949,0.791053529611807,2.702677846,7,10,4,5,1,3,5,3,3,3,1,5,5,5,4,3,5,3,4,1,1,2,6
FR,ESS1-8e01,1.0,12.12.2018,156861,ESS6e02_4,6,2.4,3341,1.42965071727949,1.57101680795042,2.702677846,5,6,3,5,2,5,3,4,5,5,4,4,4,4,3,4,5,4,5,4,5,5,4
FR,ESS1-8e01,1.0,12.12.2018,156862,ESS6e02_4,6,2.4,3343,2.14447601200887,2.76912685495313,2.702677846,7,66,3,4,2,1,1,3,5,4,5,4,1,2,3,2,3,2,3,2,3,4,2
FR,ESS1-8e01,1.0,12.12.2018,156863,ESS6e02_4,6,2.4,3344,1.42965071727949,1.87029418224532,2.702677846,5,66,4,5,4,4,5,5,5,4,4,5,4,4,5,3,4,4,5,4,4,6,4
FR,ESS1-8e01,1.0,12.12.2018,156864,ESS6e02_4,6,2.4,3346,1.42965071727949,1.57101680795042,2.702677846,8,2,3,5,3,3,3,4,5,4,3,3,3,4,4,3,6,4,6,3,4,5,3
FR,ESS1-8e01,1.0,12.12.2018,156865,ESS6e02_4,6,2.4,3347,1.42965071727949,1.04272808467625,2.702677846,2,6,3,5,1,2,2,1,5,1,4,1,2,1,4,1,4,4,5,1,4,6,4
FR,ESS1-8e01,1.0,12.12.2018,156866,ESS6e02_4,6,2.4,3348,0.714825358639744,0.395526764805903,2.702677846,5,66,4,6,1,4,2,6,2,3,1,4,1,1,5,2,6,2,1,2,3,2,6
FR,ESS1-8e01,1.0,12.12.2018,156867,ESS6e02_4,6,2.4,3349,2.14447601200887,2.91339529711648,2.702677846,0,66,1,6,5,1,1,2,2,5,4,2,3,1,2,4,6,2,1,3,1,2,1
FR,ESS1-8e01,1.0,12.12.2018,156868,ESS6e02_4,6,2.4,3350,2.85930143455898,1.58210705922361,2.702677846,3,6,3,5,1,5,4,5,5,3,3,4,5,4,5,4,5,4,5,3,2,3,4
FR,ESS1-8e01,1.0,12.12.2018,156869,ESS6e02_4,6,2.4,3351,2.85930143455898,3.69216924997272,2.702677846,5,66,2,3,2,1,1,3,4,3,4,2,2,3,1,4,2,5,5,2,5,6,2
FR,ESS1-8e01,1.0,12.12.2018,156870,ESS6e02_4,6,2.4,3352,2.85930143455898,3.1505356927218,2.702677846,7,9,2,6,1,3,4,6,3,4,2,4,5,4,4,3,5,4,5,3,3,2,5
FR,ESS1-8e01,1.0,12.12.2018,156871,ESS6e02_4,6,2.4,3354,1.42965071727949,1.87029418224532,2.702677846,0,12,3,5,1,5,4,4,5,1,1,1,1,1,5,1,5,3,4,1,1,3,1
FR,ESS1-8e01,1.0,12.12.2018,156872,ESS6e02_4,6,2.4,3355,1.42965071727949,1.5752678463609,2.702677846,5,15,2,5,2,4,2,4,2,2,1,1,1,1,1,2,3,2,3,1,1,2,1
FR,ESS1-8e01,1.0,12.12.2018,156873,ESS6e02_4,6,2.4,3356,2.14447601200887,2.76912685495313,2.702677846,10,66,3,3,2,2,3,2,5,1,1,1,1,2,2,2,2,4,4,1,2,6,1
FR,ESS1-8e01,1.0,12.12.2018,156874,ESS6e02_4,6,2.4,3359,1.0433640107015,1.08742497554483,2.702677846,8,10,1,1,1,2,2,2,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,156875,ESS6e02_4,6,2.4,3360,0.52168200535075,0.280120381351957,2.702677846,5,9,4,2,1,2,1,1,3,1,4,2,2,2,3,1,5,1,5,2,1,2,3
FR,ESS1-8e01,1.0,12.12.2018,156876,ESS6e02_4,6,2.4,3361,0.52168200535075,0.556313587993674,2.702677846,1,66,4,4,1,3,3,1,5,2,4,1,1,2,4,2,4,4,4,1,4,5,1
FR,ESS1-8e01,1.0,12.12.2018,156877,ESS6e02_4,6,2.4,3362,1.0433640107015,0.752839876934253,2.702677846,4,66,2,4,2,3,2,2,4,3,2,2,4,4,5,3,4,3,4,2,2,3,2
FR,ESS1-8e01,1.0,12.12.2018,156878,ESS6e02_4,6,2.4,3363,1.04241447070825,1.94292716025504,2.702677846,5,66,3,5,2,1,1,2,1,2,3,1,2,1,1,2,3,1,4,1,2,5,4
FR,ESS1-8e01,1.0,12.12.2018,156879,ESS6e02_4,6,2.4,3365,0.52168200535075,0.376078641294466,2.702677846,6,66,2,5,3,4,3,4,3,3,4,5,3,3,4,4,5,3,5,2,2,3,4
FR,ESS1-8e01,1.0,12.12.2018,156880,ESS6e02_4,6,2.4,3366,2.60840998788541,2.78156789851978,2.702677846,3,66,3,4,1,3,1,3,4,4,3,1,1,3,4,2,3,5,3,1,3,3,4
FR,ESS1-8e01,1.0,12.12.2018,156881,ESS6e02_4,6,2.4,3368,1.39692169894254,1.84167592893344,2.702677846,3,66,3,5,2,2,1,1,5,4,4,2,3,3,4,4,3,2,4,2,2,4,3
FR,ESS1-8e01,1.0,12.12.2018,156882,ESS6e02_4,6,2.4,3371,0.931281160382702,0.575797749997351,2.702677846,5,66,2,2,2,6,6,2,6,6,6,6,6,2,6,6,2,6,6,6,2,6,2
FR,ESS1-8e01,1.0,12.12.2018,156883,ESS6e02_4,6,2.4,3372,0.931281160382702,0.575797749997351,2.702677846,5,9,1,5,1,3,2,3,3,2,1,2,3,3,3,1,5,2,3,1,1,4,3
FR,ESS1-8e01,1.0,12.12.2018,156884,ESS6e02_4,6,2.4,3373,0.931281160382702,0.970608898397442,2.702677846,8,10,2,6,1,2,2,2,2,2,2,2,2,2,5,4,4,2,5,2,1,1,4
FR,ESS1-8e01,1.0,12.12.2018,156885,ESS6e02_4,6,2.4,3374,0.931281160382702,0.500057182568335,2.702677846,5,2,4,4,1,4,1,4,4,3,3,3,4,3,3,3,4,3,4,3,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,156886,ESS6e02_4,6,2.4,3375,0.931281160382702,0.970608898397442,2.702677846,0,2,3,5,1,1,1,4,5,1,2,4,2,1,2,1,4,2,5,1,1,1,3
FR,ESS1-8e01,1.0,12.12.2018,156887,ESS6e02_4,6,2.4,3377,0.931281160382702,0.819932919793815,2.702677846,6,2,4,6,3,4,2,5,5,3,3,4,3,3,5,4,5,5,5,2,4,4,3
FR,ESS1-8e01,1.0,12.12.2018,156888,ESS6e02_4,6,2.4,3383,0.931281160382702,0.995791019892522,2.702677846,0,5,1,4,1,5,1,1,6,4,2,1,1,3,6,6,6,1,1,1,1,4,1
FR,ESS1-8e01,1.0,12.12.2018,156889,ESS6e02_4,6,2.4,3384,0.465640580191351,0.409966459896907,2.702677846,3,9,4,6,2,6,3,4,2,1,1,3,2,1,6,2,5,3,4,1,1,4,4
FR,ESS1-8e01,1.0,12.12.2018,156890,ESS6e02_4,6,2.4,3385,1.39692169894254,0.86369659925586,2.702677846,5,9,4,5,2,4,3,4,4,3,3,3,2,2,4,4,5,2,3,2,2,2,4
FR,ESS1-8e01,1.0,12.12.2018,156891,ESS6e02_4,6,2.4,3387,1.39692169894254,0.750085751498204,2.702677846,0,9,4,5,3,5,3,3,5,3,3,4,4,3,2,3,5,3,1,1,1,4,5
FR,ESS1-8e01,1.0,12.12.2018,156892,ESS6e02_4,6,2.4,3389,1.42327682648792,0.764237300339969,2.702677846,0,2,2,5,1,3,2,1,3,2,4,2,1,1,5,2,3,2,2,1,1,6,4
FR,ESS1-8e01,1.0,12.12.2018,156893,ESS6e02_4,6,2.4,3390,0.948851245936583,0.684644139430812,2.702677846,8,10,2,5,4,3,3,4,3,3,3,3,3,3,4,3,4,3,5,2,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,156894,ESS6e02_4,6,2.4,3391,0.948851245936583,1.01457818552799,2.702677846,8,66,3,5,1,2,2,1,4,1,1,2,1,1,3,2,5,1,5,1,1,4,4
FR,ESS1-8e01,1.0,12.12.2018,156895,ESS6e02_4,6,2.4,3392,0.948851245936583,0.586661081244198,2.702677846,0,9,4,5,4,5,1,4,1,1,2,2,1,4,4,1,4,1,4,1,4,4,1
FR,ESS1-8e01,1.0,12.12.2018,156896,ESS6e02_4,6,2.4,3393,1.42327682648792,0.987663853135708,2.702677846,4,9,4,5,1,1,1,5,5,2,1,5,1,2,2,2,6,1,2,1,1,3,5
FR,ESS1-8e01,1.0,12.12.2018,156897,ESS6e02_4,6,2.4,3395,0.474425622968291,0.288083846000954,2.702677846,5,88,2,5,2,4,3,2,2,3,2,5,1,2,3,2,4,3,4,3,2,5,4
FR,ESS1-8e01,1.0,12.12.2018,156898,ESS6e02_4,6,2.4,3398,1.42327682648792,2.50430671162406,2.702677846,5,2,3,5,2,4,2,2,4,2,3,4,3,4,5,4,5,4,4,4,4,3,4
FR,ESS1-8e01,1.0,12.12.2018,156899,ESS6e02_4,6,2.4,3399,0.948851245936583,0.988920963657297,2.702677846,7,10,3,5,2,2,2,3,3,2,2,2,2,2,2,5,3,2,2,2,2,2,2
FR,ESS1-8e01,1.0,12.12.2018,156900,ESS6e02_4,6,2.4,3401,0.948851245936583,1.01457818552799,2.702677846,10,3,1,5,1,1,1,1,5,2,2,2,2,1,1,1,3,1,4,1,1,1,2
FR,ESS1-8e01,1.0,12.12.2018,156901,ESS6e02_4,6,2.4,3402,0.948851245936583,0.658442588380257,2.702677846,0,66,1,6,1,4,6,2,5,1,1,5,4,1,2,1,1,1,4,1,1,4,4
FR,ESS1-8e01,1.0,12.12.2018,156902,ESS6e02_4,6,2.4,3403,1.42327682648792,1.87642204537006,2.702677846,9,66,2,6,1,2,3,2,3,2,3,3,4,4,5,3,6,2,5,2,3,5,5
FR,ESS1-8e01,1.0,12.12.2018,156903,ESS6e02_4,6,2.4,3404,1.05958061849415,1.39693163999262,2.702677846,88,66,3,3,3,3,2,4,4,3,3,3,3,4,3,4,3,3,4,3,5,5,3
FR,ESS1-8e01,1.0,12.12.2018,156904,ESS6e02_4,6,2.4,3409,1.05958061849415,1.86437016679987,2.702677846,88,66,4,6,4,5,2,5,4,3,2,4,3,4,5,3,5,4,4,3,4,5,4
FR,ESS1-8e01,1.0,12.12.2018,156905,ESS6e02_4,6,2.4,3411,2.1191612369883,1.499919847565,2.702677846,4,9,2,6,2,6,3,2,4,2,1,3,2,2,3,1,3,4,5,1,3,5,1
FR,ESS1-8e01,1.0,12.12.2018,156906,ESS6e02_4,6,2.4,3415,1.05958061849415,0.643405509622455,2.702677846,6,10,1,5,2,6,4,3,1,2,1,3,4,3,4,1,4,3,5,2,2,3,4
FR,ESS1-8e01,1.0,12.12.2018,156907,ESS6e02_4,6,2.4,3417,1.05958061849415,0.746249203980254,2.702677846,3,9,4,5,2,5,2,4,4,3,2,3,3,3,4,3,5,3,5,3,3,4,4
FR,ESS1-8e01,1.0,12.12.2018,156908,ESS6e02_4,6,2.4,3420,1.05958061849415,1.13297778333135,2.702677846,3,66,4,5,2,5,1,3,4,3,1,3,3,3,5,3,5,3,5,3,4,5,4
FR,ESS1-8e01,1.0,12.12.2018,156909,ESS6e02_4,6,2.4,3422,1.05958061849415,1.13297778333135,2.702677846,9,10,3,5,3,5,2,3,3,3,2,3,3,2,5,3,5,3,5,2,3,2,3
FR,ESS1-8e01,1.0,12.12.2018,156910,ESS6e02_4,6,2.4,3425,2.1191612369883,2.6903383595025,2.702677846,5,66,3,5,3,4,3,3,3,4,3,3,3,3,5,3,4,5,5,3,3,6,3
FR,ESS1-8e01,1.0,12.12.2018,156911,ESS6e02_4,6,2.4,3430,0.957535930983894,0.745037584720016,2.702677846,2,12,4,6,2,5,2,5,5,2,1,4,2,4,5,1,4,4,5,2,1,2,3
FR,ESS1-8e01,1.0,12.12.2018,156912,ESS6e02_4,6,2.4,3432,1.91507186196779,1.13042819071899,2.702677846,9,3,5,5,4,3,3,4,3,3,3,3,3,3,4,3,5,3,4,3,4,5,4
FR,ESS1-8e01,1.0,12.12.2018,156913,ESS6e02_4,6,2.4,3436,1.91507186196779,1.49007516944003,2.702677846,4,9,3,5,2,5,3,4,5,3,3,4,4,4,5,4,5,4,5,4,4,5,4
FR,ESS1-8e01,1.0,12.12.2018,156914,ESS6e02_4,6,2.4,3439,0.478767965491947,0.325411788611105,2.702677846,77,66,6,6,2,5,1,4,3,3,2,5,2,5,6,5,6,5,5,5,3,5,6
FR,ESS1-8e01,1.0,12.12.2018,156915,ESS6e02_4,6,2.4,3440,1.91507186196779,1.49007516944003,2.702677846,3,6,5,4,1,4,4,4,5,2,1,1,4,2,4,3,3,3,3,2,2,4,3
FR,ESS1-8e01,1.0,12.12.2018,156916,ESS6e02_4,6,2.4,3441,0.957535930983894,0.565214095359493,2.702677846,5,66,4,6,2,6,2,4,5,3,2,4,2,3,5,4,6,3,6,1,3,6,4
FR,ESS1-8e01,1.0,12.12.2018,156917,ESS6e02_4,6,2.4,3442,0.478767965491947,0.562770759120878,2.702677846,4,9,6,6,2,6,2,5,5,3,2,3,2,1,6,5,6,1,5,2,2,1,5
