cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtehu,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
HU,ESS1-8e01,1.0,12.12.2018,201582,ESS7e02_2,7,2.2,1050,1,0.698450877150084,0.497735512,10,2,1,3,2,1,1,1,4,2,2,2,1,1,2,1,2,2,3,1,1,1,2
HU,ESS1-8e01,1.0,12.12.2018,201583,ESS7e02_2,7,2.2,1051,1,0.708783783051947,0.497735512,7,1,4,5,2,1,1,2,2,2,2,2,1,2,1,1,5,2,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201584,ESS7e02_2,7,2.2,1058,1,0.698450877150084,0.497735512,5,66,6,6,1,1,1,6,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201585,ESS7e02_2,7,2.2,1063,1,0.70770303061171,0.497735512,6,77,2,6,1,1,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201586,ESS7e02_2,7,2.2,1071,1,1.14964060985772,0.497735512,5,77,5,4,1,1,1,4,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201587,ESS7e02_2,7,2.2,1074,1,0.708783783051947,0.497735512,88,66,2,2,3,3,2,4,4,3,2,2,2,3,3,2,1,2,3,1,1,2,4
HU,ESS1-8e01,1.0,12.12.2018,201588,ESS7e02_2,7,2.2,1078,1,1.20781688182695,0.497735512,5,66,4,3,3,2,8,2,3,5,4,2,2,2,1,4,3,2,2,3,4,3,2
HU,ESS1-8e01,1.0,12.12.2018,201589,ESS7e02_2,7,2.2,1082,1,0.867632721531403,0.497735512,3,66,4,5,3,2,2,5,5,4,4,4,4,3,5,2,5,4,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201590,ESS7e02_2,7,2.2,1083,1,0.867632721531403,0.497735512,5,1,4,5,1,1,1,4,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201591,ESS7e02_2,7,2.2,1085,1,0.867632721531403,0.497735512,6,77,2,2,3,4,3,4,2,2,3,1,3,3,2,2,3,2,3,1,1,2,2
HU,ESS1-8e01,1.0,12.12.2018,201592,ESS7e02_2,7,2.2,1088,1,1.09728402851575,0.497735512,3,4,1,5,1,3,1,1,1,2,2,1,1,1,3,1,4,1,5,1,1,2,1
HU,ESS1-8e01,1.0,12.12.2018,201593,ESS7e02_2,7,2.2,1089,1,0.957078673888136,0.497735512,7,1,3,5,3,4,3,1,4,3,1,4,3,3,2,3,3,5,4,1,1,2,3
HU,ESS1-8e01,1.0,12.12.2018,201594,ESS7e02_2,7,2.2,1091,1,1.09728402851575,0.497735512,3,4,3,3,1,1,1,1,2,1,3,2,2,2,2,2,2,2,2,2,2,3,3
HU,ESS1-8e01,1.0,12.12.2018,201595,ESS7e02_2,7,2.2,1092,1,0.930156907495863,0.497735512,6,2,2,2,2,1,1,3,3,3,3,1,1,1,1,2,3,3,2,2,2,3,3
HU,ESS1-8e01,1.0,12.12.2018,201596,ESS7e02_2,7,2.2,1094,1,1.47946242295992,0.497735512,5,66,2,3,1,2,1,3,6,2,2,2,1,1,2,2,2,2,5,3,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201597,ESS7e02_2,7,2.2,1095,1,1.20781688182695,0.497735512,7,1,2,2,2,1,3,1,2,1,5,5,5,6,1,2,2,2,2,2,1,5,2
HU,ESS1-8e01,1.0,12.12.2018,201598,ESS7e02_2,7,2.2,1096,1,0.981948051262259,0.497735512,88,66,2,2,3,1,2,2,1,3,2,2,1,2,1,2,1,3,3,3,2,1,2
HU,ESS1-8e01,1.0,12.12.2018,201599,ESS7e02_2,7,2.2,1097,1,0.70770303061171,0.497735512,6,1,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201600,ESS7e02_2,7,2.2,1100,1,0.698450877150084,0.497735512,10,2,2,2,1,1,1,2,5,5,1,2,1,2,1,1,5,1,2,1,1,2,1
HU,ESS1-8e01,1.0,12.12.2018,201601,ESS7e02_2,7,2.2,1109,1,1.18769644139711,0.497735512,7,77,2,3,1,2,2,1,1,2,3,1,1,2,2,2,2,1,2,2,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201602,ESS7e02_2,7,2.2,1110,1,0.698450877150084,0.497735512,6,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201603,ESS7e02_2,7,2.2,1111,1,1.09958314426322,0.497735512,5,66,3,3,1,1,1,1,1,2,1,2,2,2,2,3,2,1,1,2,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201604,ESS7e02_2,7,2.2,1112,1,0.867632721531403,0.497735512,5,66,1,1,1,2,1,3,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201605,ESS7e02_2,7,2.2,1115,1,0.70770303061171,0.497735512,8,77,2,3,1,1,1,2,2,2,3,3,4,3,2,2,3,4,3,2,2,3,3
HU,ESS1-8e01,1.0,12.12.2018,201606,ESS7e02_2,7,2.2,1117,1,0.698450877150084,0.497735512,6,1,2,2,2,4,4,3,2,2,2,2,3,2,2,2,3,4,4,3,2,3,2
HU,ESS1-8e01,1.0,12.12.2018,201607,ESS7e02_2,7,2.2,1118,1,1.47946242295992,0.497735512,7,1,5,3,2,3,1,3,3,2,1,2,3,2,3,1,4,3,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201608,ESS7e02_2,7,2.2,1119,1,0.70770303061171,0.497735512,6,1,4,4,2,5,2,4,3,2,2,2,3,2,3,2,5,2,3,2,2,1,3
HU,ESS1-8e01,1.0,12.12.2018,201609,ESS7e02_2,7,2.2,1121,1,1.80206722527228,0.497735512,6,66,4,4,4,5,4,5,5,4,4,4,6,4,6,6,6,6,6,4,4,4,4
HU,ESS1-8e01,1.0,12.12.2018,201610,ESS7e02_2,7,2.2,1123,1,0.698450877150084,0.497735512,6,1,2,4,2,4,2,4,4,4,2,2,2,2,4,2,5,2,3,2,1,1,2
HU,ESS1-8e01,1.0,12.12.2018,201611,ESS7e02_2,7,2.2,1124,1,1.09728402851575,0.497735512,88,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201612,ESS7e02_2,7,2.2,1125,1,0.867632721531403,0.497735512,6,66,2,5,3,2,1,3,5,3,3,3,1,2,5,1,3,3,5,3,3,5,3
HU,ESS1-8e01,1.0,12.12.2018,201613,ESS7e02_2,7,2.2,1126,1,1.20781688182695,0.497735512,5,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201614,ESS7e02_2,7,2.2,1128,1,0.867632721531403,0.497735512,7,2,2,5,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,1,1,2
HU,ESS1-8e01,1.0,12.12.2018,201615,ESS7e02_2,7,2.2,1130,1,0.867632721531403,0.497735512,0,4,2,5,1,2,1,2,2,2,2,2,2,1,3,2,2,2,3,2,1,2,2
HU,ESS1-8e01,1.0,12.12.2018,201616,ESS7e02_2,7,2.2,1131,1,0.70770303061171,0.497735512,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
HU,ESS1-8e01,1.0,12.12.2018,201617,ESS7e02_2,7,2.2,1133,1,1.70116843594863,0.497735512,77,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201618,ESS7e02_2,7,2.2,1135,1,0.70770303061171,0.497735512,5,66,5,3,2,2,1,5,3,3,3,3,3,3,4,5,5,3,3,3,3,4,3
HU,ESS1-8e01,1.0,12.12.2018,201619,ESS7e02_2,7,2.2,1136,1,1.20781688182695,0.497735512,7,66,2,3,6,3,1,2,5,2,4,3,3,2,2,2,4,3,4,2,1,3,2
HU,ESS1-8e01,1.0,12.12.2018,201620,ESS7e02_2,7,2.2,1143,1,1.09728402851575,0.497735512,2,4,6,6,2,3,1,4,3,2,1,4,3,1,5,2,5,2,1,1,3,2,4
HU,ESS1-8e01,1.0,12.12.2018,201621,ESS7e02_2,7,2.2,1144,1,1.09728402851575,0.497735512,2,4,5,5,2,4,1,5,2,2,1,4,2,1,5,2,6,1,2,2,3,1,4
HU,ESS1-8e01,1.0,12.12.2018,201622,ESS7e02_2,7,2.2,1145,1,0.867632721531403,0.497735512,6,1,2,3,2,2,2,3,4,2,3,2,2,2,2,1,5,2,1,2,2,2,2
